time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W,soc
73,24.877114791819167,27.138551279971068,12.806469097045067,841.6918010622165,0.39020069148847486,0.0,0.7795579045935052,0.3155212014730875,32.0,3.0,8.0,600.0,430.2023465280305,289.9823002723406,140.22004625568988,0.07833333333333335
74,24.89540194129785,27.200424589723582,12.71745778156236,841.6772811876705,0.3890455210914969,0.0,0.7775303506604655,0.3134893960680781,32.0,3.0,8.0,600.0,433.5013533143488,291.3776898963106,142.12366341803823,0.07666666666666666
75,24.921079650920603,27.264565045282893,12.699831739695753,841.5651575141351,0.38706266343619233,0.0,0.7737818351309959,0.3098818172729413,32.0,3.0,8.0,600.0,431.4475924972059,290.42999659256526,141.01759590464064,0.07500000000000001
76,24.937198435513665,27.30957461646466,12.742660718856712,841.4102516797253,0.38748984763391936,0.0,0.7744209761906403,0.3102084101744434,32.0,3.0,8.0,600.0,427.79242104411514,288.8045682952765,138.98785274883866,0.07333333333333333
77,24.92079951243062,27.32037873744764,12.75858904941532,841.2599141947048,0.39025178892249723,0.0,0.7796966975907207,0.31523516968099224,32.0,3.0,8.0,600.0,428.48715806374986,289.15461033010655,139.3325477336433,0.07166666666666666
78,24.912831199272716,27.344658410622912,12.695624654439769,841.3740373420219,0.3923445339620759,0.0,0.7839028662176001,0.3189582886660743,32.0,3.0,8.0,600.0,433.61921098283415,291.41962267979886,142.1995883030353,0.07
79,24.925962094106524,27.395610472768112,12.607534745403939,841.4284521783054,0.39174406108773474,0.0,0.7829464974137498,0.3178989114343076,32.0,3.0,8.0,600.0,437.6513191768324,293.1379547957306,144.51336438110178,0.06833333333333333
80,24.94952841321907,27.45424425585753,12.576254309516457,841.344052975067,0.3896639721807962,0.0,0.7790388849832927,0.3142092495314479,32.0,3.0,8.0,600.0,436.6298122877807,292.64472583299545,143.98508645478523,0.06666666666666668
81,24.968249432733842,27.49869024023309,12.613928639293874,841.2023350260233,0.38925046008773834,0.0,0.7781177373787868,0.3131530192336016,32.0,3.0,8.0,600.0,432.7772803313411,290.9373002692992,141.8399800620419,0.065
82,24.95989997260847,27.51180866138168,12.647910337965413,841.054776167847,0.3915548347276853,0.0,0.7824272476712415,0.31711619652303397,32.0,3.0,8.0,600.0,431.9355199350638,290.59808653191504,141.3374334031487,0.06333333333333332
83,24.943868374112128,27.52162412917113,12.608007178920445,841.0914828222969,0.39401008236573143,0.0,0.7872850647857875,0.32157962051896416,32.0,3.0,8.0,600.0,436.18813014848706,292.4893262686176,143.69880387986944,0.061666666666666675
84,24.951781508694012,27.56155812163405,12.521949467080674,841.2124564798767,0.3939883804929373,0.0,0.7874439952119623,0.32151149010083735,32.0,3.0,8.0,600.0,440.8988074535457,294.50682472659213,146.39198272695356,0.060000000000000026
85,24.97289321515956,27.61440579350358,12.476897511138361,841.1565945822554,0.3918628145807738,0.0,0.7834766396204541,0.31782486592356074,32.0,3.0,8.0,600.0,440.9696388298098,294.4889810917408,146.48065773806903,0.05833333333333332
86,24.993945504086753,27.658262094853967,12.508039105008436,841.0301393501347,0.39062462228651873,0.0,0.7810299123735701,0.3154437562507696,32.0,3.0,8.0,600.0,437.02002462545937,292.7422581380351,144.2777664874243,0.05666666666666667
87,24.993972721677494,27.67426535115476,12.558932458628647,840.8867893975294,0.3924324475122337,0.0,0.7842997479509365,0.31829480232414287,32.0,3.0,8.0,600.0,434.6559026733044,291.72561890121085,142.93028377209356,0.05500000000000002
88,24.970402497503414,27.67022633717818,12.542444159687932,840.8443332957078,0.39521236281091887,0.0,0.7897345505776476,0.3234285378044887,32.0,3.0,8.0,600.0,437.9431519735874,293.21017967929276,144.73297229429468,0.053333333333333344
89,24.9731223561501,27.699125065375824,12.45960169068195,841.0281755113825,0.3957881441408685,0.0,0.791042044426829,0.3243667208149574,32.0,3.0,8.0,600.0,443.2583164257686,295.4956666179466,147.762649807822,0.051666666666666666
90,24.99144737088824,27.745886995309775,12.400860220767242,841.0010666537258,0.3936776148943229,0.0,0.7871292324095045,0.3207785138108474,32.0,3.0,8.0,600.0,444.46722274982244,295.9694444322299,148.49777831759255,0.04999999999999999
91,25.014431053132398,27.789007239504315,12.423966189012276,840.8918107566404,0.3916389082901791,0.0,0.7832046779879979,0.3171333433146711,32.0,3.0,8.0,600.0,440.5385571189066,294.2334860955116,146.30507102339504,0.04833333333333334
92,25.02292431838731,27.808278038735523,12.490340516181504,840.7542196906767,0.39287017045226624,0.0,0.785291303086764,0.31876517062269577,32.0,3.0,8.0,600.0,436.6859415572362,292.558368691926,144.12757286531024,0.04666666666666666
93,24.993069150729013,27.791583906830283,12.498406187066223,840.6342813919464,0.39589535823984123,0.0,0.7911593192349785,0.3244319725200455,32.0,3.0,8.0,600.0,438.8524413524657,293.56983647305736,145.28260487940832,0.044999999999999984
94,24.990962650795268,27.809533987691054,12.42158672510584,840.8723786574516,0.3972228285386262,0.0,0.7939226605560665,0.32663294858429404,32.0,3.0,8.0,600.0,444.62151422651647,296.05768013898256,148.5638340875339,0.043333333333333335
95,25.00583968164358,27.849929513720667,12.346740445959995,840.873783412534,0.3956694288060543,0.0,0.7910983307173922,0.32402704830977946,32.0,3.0,8.0,600.0,447.27654552962935,297.1505678681752,150.12597766145416,0.041666666666666685
96,25.027842492538184,27.892067935345665,12.346929124070016,840.784561670397,0.3934615561341092,0.0,0.7868777667596611,0.32016193735434045,32.0,3.0,8.0,600.0,444.4012284537092,295.87174897468293,148.5294794790263,0.03999999999999998
97,25.039717090753072,27.914715077589562,12.404890345970216,840.6532649155263,0.39385572711490174,0.0,0.7874065014605967,0.3204228548932629,32.0,3.0,8.0,600.0,440.22077254235523,294.0558777920695,146.16489475028575,0.03833333333333333
98,25.0179685468583,27.903323479496123,12.429224556956854,840.5292402694597,0.3965066666836679,0.0,0.7924672538115689,0.3252018392306121,32.0,3.0,8.0,600.0,440.8396505125735,294.3799155876618,146.45973492491171,0.03666666666666668
99,25.00819706082666,27.910090598092893,12.37240613877475,840.6888387232812,0.3982818495209539,0.0,0.7960531758852056,0.328285620712987,32.0,3.0,8.0,600.0,445.862734675311,296.56087027647146,149.30186439883957,0.035
100,25.018711960005362,27.943315929745665,12.295666031493226,840.7543195772257,0.3973199054431398,0.0,0.794376746133974,0.32667769806291747,32.0,3.0,8.0,600.0,449.3608004058049,298.0229737975012,151.33782660830371,0.033333333333333326
101,25.039290854477827,27.983609009854888,12.279701529135536,840.6882830242819,0.3950439917633436,0.0,0.7900588342735639,0.3227638525189601,32.0,3.0,8.0,600.0,447.6142383895484,297.2305188517155,150.3837195378329,0.031666666666666676
102,25.054341057162844,28.009159792634136,12.330497412496811,840.565671364501,0.3946300803750994,0.0,0.7890943888564165,0.32173007820241895,32.0,3.0,8.0,600.0,443.30189889059693,295.35714980631127,147.94474908428563,0.03
103,25.041138055295335,28.00328136595226,12.371134944446851,840.4393598809223,0.39686465403947724,0.0,0.7932681091680719,0.32555593243429426,32.0,3.0,8.0,600.0,442.4202904534143,295.0166802859424,147.40361016747184,0.02833333333333335
104,25.0238968556057,27.99871355249968,12.335469014343005,840.5175577409968,0.39905138318135597,0.0,0.7976038574555546,0.3294590687751105,32.0,3.0,8.0,600.0,446.6105837755414,296.8556152031913,149.75496857235007,0.026666666666666672
105,25.029840237057385,28.02408780755377,12.258385270250642,840.6459079398024,0.3987001777702478,0.0,0.7971092267420411,0.32886830413126805,32.0,3.0,8.0,600.0,450.88115060466237,298.6571989581508,152.22395164651158,0.024999999999999994
106,25.048555846433374,28.061713880760124,12.226522166114307,840.6046405922272,0.3964010789135937,0.0,0.7927792801177773,0.32497932349956726,32.0,3.0,8.0,600.0,450.30863994402955,298.3677158572778,151.94092408675175,0.023333333333333345
