time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
35,22.571733022992248,25.420423783634874,11.887022867241967,939.7999282782156,0.34183350455088524,0.0,1.0000000099706579,0.5697478564845818,32.0,3.0,8.0,600.0,247.0530360732982,0.14166666666666666
36,22.554722365483713,25.422816850236018,11.737544613856699,941.6065504903984,0.3444167494971629,0.0,1.0000000099717576,0.5708575819943978,32.0,3.0,8.0,600.0,252.16694678239378,0.14
37,22.558741663536637,25.45398539986877,11.598331240867594,943.1485553903841,0.3418552097712361,0.0,1.0000000099729527,0.5697563625613202,32.0,3.0,8.0,600.0,254.2371179904752,0.13833333333333334
38,22.57685506080145,25.495666792340046,11.599139514251249,943.0401055344515,0.33654612105400994,0.0,1.0000000099728594,0.5674790360293395,32.0,3.0,8.0,600.0,252.1843298362598,0.13666666666666666
39,22.59762683628759,25.525999659763954,11.738487434229853,941.4056913463489,0.33544738941704977,0.0,1.0000000099717463,0.5670082878240442,32.0,3.0,8.0,600.0,247.93806627126332,0.135
40,22.596507640385653,25.527174707277425,11.836727723569197,940.3865673005575,0.3071158406195922,0.0,0.9999999948303849,0.6597102588247954,32.0,3.0,8.0,600.0,247.06069795334605,0.13333333333333336
41,22.60846979176523,25.517730944585082,12.080757514587447,1004.2769547908068,0.3296462552796482,0.0,1.0000000099550967,0.6165529647470078,32.0,3.0,8.0,600.0,224.60252456429896,0.13166666666666665
42,22.63165343134051,25.541596192789314,11.88844122203568,1005.5579333492317,0.33357582790116874,0.0,1.0000000099573971,0.6154051338897991,32.0,3.0,8.0,600.0,242.43631143451287,0.13
43,22.653007175814594,25.58191015713294,11.724259685328548,1005.2878333809467,0.32760112776121453,0.0,1.000000009957589,0.6153963140844063,32.0,3.0,8.0,600.0,245.56731293703749,0.12833333333333335
44,22.674634878071686,25.616209365317047,11.79292871754285,1005.1493559944614,0.32230782056161816,0.0,1.0000000099571216,0.6153644985490172,32.0,3.0,8.0,600.0,240.80922696751148,0.12666666666666668
45,22.684274252358364,25.624849231410565,11.953238486831765,1005.0570680389291,0.328781583676608,0.0,1.0000000099565691,0.615583755448941,32.0,3.0,8.0,600.0,236.60562576295047,0.125
46,22.657282566310812,25.60618551745449,11.879003449461322,1005.1831467808244,0.33445426898329816,0.0,1.0000000099574229,0.615636194894706,32.0,3.0,8.0,600.0,241.7481839491804,0.12333333333333334
47,22.653530240868974,25.621893058787236,11.705382637430148,1005.2855188072679,0.33440077199353513,0.0,1.0000000099581827,0.6155548904180816,32.0,3.0,8.0,600.0,246.2680780152286,0.12166666666666667
48,22.666022559968553,25.657845586655014,11.625227133620456,1005.2719782545078,0.32959218791208317,0.0,1.000000009958524,0.6154419161987266,32.0,3.0,8.0,600.0,246.22539267572608,0.12
49,22.686665780492262,25.692858022509824,11.703149590359715,1005.1772176409957,0.32372802241998355,0.0,1.0000000099582984,0.6153655351064672,32.0,3.0,8.0,600.0,242.39327454722908,0.11833333333333335
50,22.701620510890336,25.706269529372662,11.881755075580486,1005.0714496740213,0.3287237475045943,0.0,1.0000000099575421,0.6155564301617199,32.0,3.0,8.0,600.0,237.7323685141807,0.11666666666666667
51,22.675954418868514,25.685037170828366,11.8523277154016,1005.1688407098368,0.3349374225592208,0.0,1.0000000099580797,0.615642988855148,32.0,3.0,8.0,600.0,241.7021670667118,0.115
52,22.666239216598967,25.690981624281164,11.687177393474713,1005.283845202729,0.33613187936349137,0.0,1.000000009958821,0.6155856185490763,32.0,3.0,8.0,600.0,246.6536388203273,0.11333333333333334
53,22.674838684190036,25.721449690314728,11.580262471389233,1005.2951421002955,0.3322420327325323,0.0,1.0000000099592432,0.6154773489882728,32.0,3.0,8.0,600.0,247.607225909771,0.11166666666666668
