time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
44,22.31686055778181,25.43473134963125,5.0,932.8151112056211,1.0,0.0,0.5945240379958969,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.12666666666666668
45,22.288341687606476,25.436319363540633,5.0,929.5611707661005,1.0,0.0,0.5779329404295257,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.125
46,22.264838835049318,25.409359541709307,5.0,933.2330469330577,1.0,0.0,0.5591492811608103,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.12333333333333334
47,22.310074290237935,25.417242372821363,5.0,941.9171207593299,1.0,0.0,0.5837818668027059,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.12166666666666667
48,22.328276578881116,25.447642690102498,5.0,938.7932867105466,1.0,0.0,0.5985383269005198,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.12
49,22.32135193444867,25.47755340257595,5.0,931.7815094872451,1.0,0.0,0.5993463915740316,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.11833333333333335
50,22.29561455839547,25.4849645403944,5.0,927.2919088302508,1.0,0.0,0.5856006152265254,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.11666666666666667
51,22.262637166892546,25.456344143309423,5.0,929.2449395566287,1.0,0.0,0.5616393528535721,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.115
52,22.301072655011808,25.45490362778395,5.0,938.5702740256011,1.0,0.0,0.5810716279155648,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.11333333333333334
53,22.325761044360604,25.480208151213958,5.0,937.68595848115,1.0,0.0,0.5985680314620836,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.11166666666666668
54,22.324466087109272,25.51074104301955,5.0,931.1057817587341,1.0,0.0,0.602813770258272,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.11
55,22.302297690174953,25.52352182070183,5.0,925.7047128902115,1.0,0.0,0.5921891098261032,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.10833333333333334
56,22.269859597396305,25.502450206198546,5.0,926.0561637159985,1.0,0.0,0.5699419829160403,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.10666666666666667
57,22.28934351657682,25.491461816927085,5.0,933.7743947725448,1.0,0.0,0.5775526458216624,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.10500000000000001
58,22.32108791148528,25.510465559009845,5.0,935.9532207350071,1.0,0.0,0.597642425572947,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.10333333333333333
59,22.325919751391837,25.540381499239857,5.0,930.3828645201779,1.0,0.0,0.6052422958045933,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.10166666666666668
60,22.308084129905353,25.557692062813828,5.0,924.4460000791664,1.0,0.0,0.5979413110424222,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.1
61,22.277046332931718,25.544043098473196,5.0,923.3599316542047,1.0,0.0,0.5778316791419482,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.09833333333333334
62,22.277338477993112,25.523209272389465,5.0,929.4550553071878,1.0,0.0,0.5734454472712677,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.09666666666666666
63,22.315617831510963,25.535041067799625,5.0,934.6919339370286,1.0,0.0,0.5957086903323856,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.095
64,22.326566262716085,25.563274688313697,5.0,930.2876286768486,1.0,0.0,0.6064961584781637,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.09333333333333334
65,22.313472148635583,25.58432409049226,5.0,923.9626376692217,1.0,0.0,0.6026435311650293,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.09166666666666667
66,22.284483529290583,25.577946333313378,5.0,921.4894219757404,1.0,0.0,0.5850459273506458,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.09
67,22.26559874386419,25.547277523961952,5.0,925.8931926848495,1.0,0.0,0.5687232834102864,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08833333333333333
68,22.309670927765012,25.55131111266951,5.0,934.0843676190893,1.0,0.0,0.5926935609137005,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08666666666666667
69,22.326544483071416,25.576924409991022,5.0,930.9547046496053,1.0,0.0,0.6064392351811857,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08500000000000002
70,22.318467707823515,25.600934462400232,5.0,924.3793844496485,1.0,0.0,0.6060943891219386,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08333333333333333
71,22.29210909903702,25.601613504273757,5.0,920.5783745138424,1.0,0.0,0.591336904536095,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08166666666666667
72,22.259234257425078,25.566071459629654,5.0,923.2380635386919,1.0,0.0,0.5667463352151394,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.08000000000000002
73,22.302185127549706,25.561916197091648,5.0,933.0991780378139,1.0,0.0,0.5886587957873943,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07833333333333335
74,22.32517342560658,25.58385772358855,5.0,931.7389485289863,1.0,0.0,0.6051876299371468,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07666666666666666
75,22.322493720203397,25.609851713165597,5.0,925.2735609244631,1.0,0.0,0.6083465212762353,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07500000000000001
76,22.29943719639266,25.617106380403357,5.0,920.3526188702944,1.0,0.0,0.5967056986493985,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07333333333333333
77,22.26683968729111,25.59009878126392,5.0,921.3104461942576,1.0,0.0,0.5737748815568459,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07166666666666666
78,22.290911506084683,25.577431259680964,5.0,929.5508849353778,1.0,0.0,0.5839930921705687,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.07
79,22.321044350469208,25.594195620136304,5.0,931.1680869942704,1.0,0.0,0.6032683844566729,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.06833333333333333
80,22.324447308339245,25.620689287585492,5.0,925.5870563097094,1.0,0.0,0.6098593250595403,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.06666666666666668
81,22.305589713276504,25.63347422649673,5.0,920.0290690297899,1.0,0.0,0.6015484701834706,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.065
82,22.274213593658033,25.614694899416463,5.0,919.5012546816998,1.0,0.0,0.5807031291058414,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.06333333333333332
83,22.27913027450336,25.59296746252653,5.0,926.1266269577286,1.0,0.0,0.5789875244291764,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.061666666666666675
84,22.31595395079222,25.603458197670875,5.0,930.765958431099,1.0,0.0,0.6005901527320513,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.060000000000000026
85,22.32548727285473,25.629196764182836,5.0,926.2586217747881,1.0,0.0,0.610454268334252,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.05833333333333332
86,22.31127824168476,25.64656518901387,5.0,920.2267974124981,1.0,0.0,0.6056054010862196,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.05666666666666667
87,22.2817943241202,25.635729631052186,5.0,918.266763891784,1.0,0.0,0.5872223071279783,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.05500000000000002
88,22.267489727910174,25.604744909977455,5.0,923.2045247866339,1.0,0.0,0.573567954605001,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.053333333333333344
89,22.31029641787103,25.60814638447937,5.0,930.7898647667331,1.0,0.0,0.5970305831596344,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.051666666666666666
90,22.32580453428949,25.632034424118046,5.0,927.4850842109241,1.0,0.0,0.609945548226762,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.04999999999999999
91,22.31654773337044,25.653083057696335,5.0,921.1262389402998,1.0,0.0,0.6086266944413266,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.04833333333333334
